Plant Name,Soil Type,Soil pH,Temperature,Rainfall (mm),Required Fertilizer,Common Pests & Recommended Pesticides
Pumpkin,Clayey Loam,6.8,11,328,Sulfur Fertilizer,Late Blight - Mancozeb
Groundnut,Red,6.2,21,1145,Organic Compost,Bollworm - Cypermethrin
Coconut,Loamy,7.3,17,959,Urea,Panama Wilt - Thiophanate
Guava,Mountain,6.6,27,636,Organic Compost,Thrips - Spinosad
Pumpkin,Red,5.9,19,1111,Sulfur Fertilizer,Thrips - Spinosad
Black Gram,Laterite,6,32,428,Urea,Late Blight - Mancozeb
Guava,Clayey,6.4,13,1710,Organic Compost,Blast - Tricyclazole
Tomato,Sandy,7.3,20,868,Urea,Bud Rot - Copper Oxychloride
Blueberry,Sandy Loam,7.2,27,1830,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Maize,Mountain,7.2,21,1203,Potash Fertilizer,Leaf Curl - Imidacloprid
Potato,Sandy,7.1,20,1701,Potash Fertilizer,Panama Wilt - Thiophanate
Tomato,Sandy,7,34,684,NPK Fertilizer,Late Blight - Mancozeb
Cabbage,Sandy Loam,5.6,21,1796,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Neem,Alluvial,6.6,16,2482,Phosphate Fertilizer,Rust - Mancozeb
Cauliflower,Sandy Loam,7,16,1783,DAP,Late Blight - Mancozeb
Pear,Mountain,7.2,29,1333,Potassium Nitrate,Blast - Tricyclazole
Strawberry,Black,7.4,22,457,Farmyard Manure,Scab - Captan
Wheat,Loamy,5.8,27,2480,Potash Fertilizer,Leaf Curl - Imidacloprid
Mango,Clayey Loam,6.6,30,2039,Urea,Late Blight - Mancozeb
Cauliflower,Mountain,6.1,23,1258,Potassium Nitrate,Leaf Curl - Imidacloprid
Mango,Mountain,6.7,21,1734,NPK Fertilizer,Thrips - Spinosad
Spinach,Sandy Loam,5.8,31,2152,NPK Fertilizer,Panama Wilt - Thiophanate
Maize,Loamy,7.3,29,1220,Farmyard Manure,Aphids - Imidacloprid
Pear,Alluvial,5.6,33,1183,Sulfur Fertilizer,Aphids - Imidacloprid
Bamboo,Black,7.3,20,1260,NPK Fertilizer,Aphids - Imidacloprid
Pumpkin,Clayey,5.8,23,335,Phosphate Fertilizer,Aphids - Imidacloprid
Okra,Clayey,5.6,18,547,NPK Fertilizer,Anthracnose - Carbendazim
Green Gram,Clayey,6.9,24,1915,Sulfur Fertilizer,Blast - Tricyclazole
Sunflower,Loamy,7,20,1312,Potassium Nitrate,Powdery Mildew - Sulfur
Carrot,Red,5.7,18,612,Potash Fertilizer,Anthracnose - Carbendazim
Turmeric,Red,5.8,20,2336,Potash Fertilizer,Bud Rot - Copper Oxychloride
Tomato,Clayey Loam,6.8,11,344,Sulfur Fertilizer,Rust - Propiconazole
Coffee,Black,6.4,26,1076,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Blueberry,Loamy,6.6,35,401,Farmyard Manure,Scab - Captan
Apple,Clayey Loam,7.2,10,2149,Phosphate Fertilizer,Mealybug - Buprofezin
Banana,Sandy Loam,7.3,12,1742,Phosphate Fertilizer,Late Blight - Mancozeb
Chili,Mountain,5.9,15,1004,Farmyard Manure,Stem Borer - Carbaryl
Onion,Laterite,5.8,23,373,DAP,Aphids - Imidacloprid
Cauliflower,Laterite,6.6,30,2347,Potassium Nitrate,Mealybug - Buprofezin
Eucalyptus,Mountain,6.6,23,2284,DAP,Stem Borer - Carbaryl
Tea,Laterite,7.4,19,1844,Urea,Rust - Propiconazole
Mango,Clayey,6.7,32,2052,Potash Fertilizer,Red Rot - Carbendazim
Carrot,Laterite,7.5,23,1369,NPK Fertilizer,Thrips - Spinosad
Turmeric,Sandy Loam,5.9,30,2437,Phosphate Fertilizer,Coffee Rust - Propiconazole
Tomato,Black,6.5,27,1997,Urea,Leaf Spot - Chlorothalonil
Apple,Alluvial,6.1,20,1061,Organic Compost,Mealybug - Buprofezin
Watermelon,Mountain,7,32,788,Urea,Powdery Mildew - Sulfur
Neem,Black,6.6,12,2317,NPK Fertilizer,Coffee Rust - Propiconazole
Mahogany,Sandy,7.3,28,1457,Phosphate Fertilizer,Red Rot - Carbendazim
Carrot,Mountain,6.4,31,365,Potash Fertilizer,Anthracnose - Carbendazim
Wheat,Mountain,7.4,27,2160,Farmyard Manure,Blister Blight - Copper Oxychloride
Tea,Sandy,7.2,24,541,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Basil,Sandy,6.2,32,2098,Phosphate Fertilizer,Powdery Mildew - Sulfur
Peas,Sandy,6.7,21,1992,Urea,Powdery Mildew - Sulfur
Jackfruit,Clayey Loam,7.2,13,2025,NPK Fertilizer,Blister Blight - Copper Oxychloride
Bamboo,Loamy,6.5,13,514,Potassium Nitrate,Coffee Rust - Propiconazole
Eucalyptus,Laterite,6.3,24,2471,Sulfur Fertilizer,Panama Wilt - Thiophanate
Chili,Clayey Loam,6.3,18,2234,Calcium Ammonium Nitrate,Thrips - Spinosad
Sunflower,Red,5.7,30,1899,Urea,Scab - Captan
Blueberry,Mountain,5.7,22,2111,Farmyard Manure,Scab - Captan
Mustard,Sandy Loam,6,25,1924,Organic Compost,Powdery Mildew - Sulfur
Cotton,Alluvial,7,25,518,Organic Compost,Stem Borer - Carbaryl
Cabbage,Alluvial,6,35,1527,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Sugarcane,Red,7.5,17,505,DAP,Bollworm - Cypermethrin
Lentils,Alluvial,7.5,34,2092,DAP,Aphids - Imidacloprid
Spinach,Clayey,7.3,24,1783,Urea,Stem Borer - Carbaryl
Brinjal,Sandy Loam,5.9,31,1107,NPK Fertilizer,Late Blight - Mancozeb
Brinjal,Loamy,7.5,19,1539,Calcium Ammonium Nitrate,Scab - Captan
Pomegranate,Black,6.6,18,881,Organic Compost,Leaf Spot - Chlorothalonil
Cauliflower,Sandy,5.7,20,1783,Urea,Scab - Captan
Coconut,Clayey,6.4,23,723,Calcium Ammonium Nitrate,Scab - Captan
Banana,Sandy Loam,6.7,29,1348,Potassium Nitrate,Mealybug - Buprofezin
Maize,Black,7.3,21,2383,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Cauliflower,Mountain,6.3,33,480,Potash Fertilizer,Rust - Mancozeb
Cauliflower,Mountain,7.5,32,1753,NPK Fertilizer,Late Blight - Mancozeb
Eucalyptus,Mountain,6.8,27,496,Sulfur Fertilizer,Panama Wilt - Thiophanate
Radish,Loamy,6.4,28,1622,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Carrot,Clayey Loam,5.7,12,595,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Peas,Laterite,7.1,28,415,Potassium Nitrate,Leaf Spot - Chlorothalonil
Mahogany,Sandy Loam,6.7,11,864,NPK Fertilizer,Stem Borer - Carbaryl
Coconut,Red,6.3,33,554,DAP,Coffee Rust - Propiconazole
Mustard,Alluvial,5.8,11,2042,NPK Fertilizer,Bollworm - Cypermethrin
Cabbage,Mountain,7.2,28,927,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Mahogany,Clayey,6.3,25,2063,Sulfur Fertilizer,Blast - Tricyclazole
Soybean,Clayey,6.5,30,1821,Phosphate Fertilizer,Thrips - Spinosad
Mustard,Black,6,12,1772,Farmyard Manure,Blister Blight - Copper Oxychloride
Mango,Laterite,5.9,33,569,Potassium Nitrate,Bud Rot - Copper Oxychloride
Blueberry,Sandy Loam,6.2,34,678,Farmyard Manure,Coffee Rust - Propiconazole
Carrot,Sandy Loam,6.3,35,866,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Peas,Mountain,7.3,35,2345,Potassium Nitrate,Bud Rot - Copper Oxychloride
Mahogany,Clayey,6.5,16,704,Phosphate Fertilizer,Red Rot - Carbendazim
Aloe Vera,Sandy,6.6,33,568,Potassium Nitrate,Thrips - Spinosad
Eucalyptus,Clayey Loam,5.6,19,1886,NPK Fertilizer,Bud Rot - Copper Oxychloride
Mahogany,Alluvial,6.5,30,1342,NPK Fertilizer,Rust - Propiconazole
Potato,Laterite,6.6,17,1072,NPK Fertilizer,Mealybug - Buprofezin
Mahogany,Mountain,7.3,34,1839,Sulfur Fertilizer,Red Rot - Carbendazim
Jackfruit,Laterite,6.5,15,343,Phosphate Fertilizer,Anthracnose - Carbendazim
Papaya,Mountain,6.6,10,2434,Phosphate Fertilizer,Coffee Rust - Propiconazole
Pear,Red,6.5,13,1904,Organic Compost,Anthracnose - Carbendazim
Peach,Sandy,6.5,30,799,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Coconut,Mountain,6.9,18,1258,Urea,Blister Blight - Copper Oxychloride
Pear,Mountain,6,35,991,Organic Compost,Rust - Propiconazole
Cauliflower,Black,7.2,33,1501,Potash Fertilizer,Blister Blight - Copper Oxychloride
Pear,Sandy,6.4,31,1736,Urea,Anthracnose - Carbendazim
Lentils,Sandy,6.6,33,1072,Potassium Nitrate,Blast - Tricyclazole
Aloe Vera,Clayey,6.9,27,2024,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Jute,Sandy,6.4,22,739,Potassium Nitrate,Scab - Captan
Brinjal,Sandy,6,24,2475,Urea,Leaf Spot - Chlorothalonil
Jute,Alluvial,5.6,22,1922,Farmyard Manure,Scab - Captan
Watermelon,Clayey Loam,5.9,31,1710,Urea,Rust - Propiconazole
Papaya,Clayey Loam,6,33,1363,Farmyard Manure,Leaf Spot - Chlorothalonil
Wheat,Clayey Loam,5.7,31,2143,Potassium Nitrate,Leaf Spot - Chlorothalonil
Cauliflower,Loamy,6.9,34,1481,DAP,Anthracnose - Carbendazim
Bamboo,Alluvial,5.8,10,2190,Farmyard Manure,Rust - Mancozeb
Eucalyptus,Laterite,6.1,19,513,Phosphate Fertilizer,Scab - Captan
Cabbage,Sandy Loam,6.5,22,523,Potash Fertilizer,Panama Wilt - Thiophanate
Coffee,Red,6.7,19,2488,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Banana,Red,7.1,23,932,Sulfur Fertilizer,Red Rot - Carbendazim
Okra,Clayey,6.1,33,595,Phosphate Fertilizer,Powdery Mildew - Sulfur
Brinjal,Sandy,6.8,22,1223,DAP,Blast - Tricyclazole
Cashew,Sandy,7.3,11,1657,NPK Fertilizer,Stem Borer - Carbaryl
Blueberry,Clayey,6.5,25,2392,DAP,Stem Borer - Carbaryl
Cauliflower,Black,7.2,33,1662,Urea,Stem Borer - Carbaryl
Carrot,Laterite,7.4,22,2184,Potassium Nitrate,Rust - Propiconazole
Cauliflower,Black,5.7,25,1147,Potash Fertilizer,Panama Wilt - Thiophanate
Watermelon,Mountain,6,29,1072,Potash Fertilizer,Anthracnose - Carbendazim
Strawberry,Black,6.5,27,651,Sulfur Fertilizer,Rust - Mancozeb
Cabbage,Clayey Loam,7.1,29,1315,Farmyard Manure,Late Blight - Mancozeb
Potato,Laterite,6.8,26,1726,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Turmeric,Mountain,5.6,12,1849,Urea,Bollworm - Cypermethrin
Pear,Clayey,6.7,17,1672,NPK Fertilizer,Leaf Spot - Chlorothalonil
Brinjal,Mountain,6.2,21,2049,Potash Fertilizer,Leaf Curl - Imidacloprid
Apple,Red,6.7,17,1675,DAP,Red Rot - Carbendazim
Potato,Sandy Loam,7.5,19,808,Urea,Anthracnose - Carbendazim
Tomato,Alluvial,6.8,33,1997,NPK Fertilizer,Stem Borer - Carbaryl
Sunflower,Red,6.5,28,925,Calcium Ammonium Nitrate,Rust - Mancozeb
Strawberry,Laterite,6.2,10,1833,Urea,Mealybug - Buprofezin
Ginger,Loamy,6.3,17,2451,Potash Fertilizer,Thrips - Spinosad
Cabbage,Red,5.8,19,415,Farmyard Manure,Late Blight - Mancozeb
Cauliflower,Alluvial,5.9,21,1546,Organic Compost,Bud Rot - Copper Oxychloride
Mango,Mountain,7.1,19,1627,Phosphate Fertilizer,Aphids - Imidacloprid
Tea,Laterite,7.5,34,2407,Potash Fertilizer,Mealybug - Buprofezin
Jackfruit,Sandy,5.9,11,1819,NPK Fertilizer,Scab - Captan
Banana,Sandy,5.6,28,819,Farmyard Manure,Rust - Propiconazole
Mahogany,Alluvial,6.5,30,1015,Organic Compost,Aphids - Imidacloprid
Ginger,Laterite,6.4,19,924,Sulfur Fertilizer,Stem Borer - Carbaryl
Cabbage,Sandy,6,16,1272,DAP,Rust - Mancozeb
Maize,Sandy,6.5,34,1126,Potash Fertilizer,Anthracnose - Carbendazim
Aloe Vera,Loamy,6,35,1243,Potassium Nitrate,Stem Borer - Carbaryl
Okra,Red,6.4,10,2430,Phosphate Fertilizer,Thrips - Spinosad
Cashew,Sandy Loam,7.4,35,1295,NPK Fertilizer,Bollworm - Cypermethrin
Pomegranate,Black,6.7,34,1788,NPK Fertilizer,Bud Rot - Copper Oxychloride
Black Gram,Red,6.5,31,619,Organic Compost,Rust - Mancozeb
Guava,Mountain,6.7,10,1663,DAP,Red Rot - Carbendazim
Apple,Clayey Loam,7,30,1002,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Watermelon,Clayey,5.5,18,460,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Potato,Red,6.3,14,1084,Potash Fertilizer,Leaf Curl - Imidacloprid
Spinach,Laterite,7.1,11,1353,Farmyard Manure,Aphids - Imidacloprid
Cauliflower,Alluvial,5.7,16,1361,DAP,Powdery Mildew - Sulfur
Wheat,Sandy Loam,6.9,34,1224,Potassium Nitrate,Leaf Spot - Chlorothalonil
Peas,Mountain,6.9,26,1177,Urea,Blast - Tricyclazole
Onion,Black,5.6,24,2026,Farmyard Manure,Bollworm - Cypermethrin
Black Gram,Sandy,6,18,1264,Organic Compost,Blast - Tricyclazole
Mango,Red,6.2,24,1571,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Peach,Alluvial,5.7,23,2408,Phosphate Fertilizer,Late Blight - Mancozeb
Papaya,Black,6.8,32,766,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Mahogany,Clayey Loam,7.2,11,1295,Phosphate Fertilizer,Blast - Tricyclazole
Neem,Laterite,6.6,31,908,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Maize,Laterite,5.5,15,2237,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Pear,Loamy,7.3,16,1015,Potash Fertilizer,Blast - Tricyclazole
Wheat,Laterite,7.3,26,1869,NPK Fertilizer,Scab - Captan
Cashew,Laterite,5.7,23,467,Sulfur Fertilizer,Rust - Mancozeb
Neem,Alluvial,6.7,13,2292,Phosphate Fertilizer,Rust - Mancozeb
Pomegranate,Laterite,6.5,23,378,Organic Compost,Scab - Captan
Radish,Laterite,6.9,11,1624,Phosphate Fertilizer,Late Blight - Mancozeb
Cashew,Loamy,7,18,1968,NPK Fertilizer,Coffee Rust - Propiconazole
Potato,Sandy Loam,6.7,23,755,Farmyard Manure,Thrips - Spinosad
Soybean,Sandy,6.3,15,556,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Eucalyptus,Mountain,6.5,27,2397,Potash Fertilizer,Powdery Mildew - Sulfur
Peas,Clayey Loam,7.4,21,1249,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Cashew,Alluvial,6.8,32,374,DAP,Bollworm - Cypermethrin
Sugarcane,Laterite,5.9,33,1697,Potassium Nitrate,Thrips - Spinosad
Sugarcane,Sandy,6.1,21,2308,Sulfur Fertilizer,Thrips - Spinosad
Bamboo,Loamy,5.8,25,2268,NPK Fertilizer,Bollworm - Cypermethrin
Coconut,Loamy,7.1,21,1120,Sulfur Fertilizer,Powdery Mildew - Sulfur
Sugarcane,Loamy,5.9,28,1251,NPK Fertilizer,Bollworm - Cypermethrin
Strawberry,Loamy,6.2,25,1280,Potassium Nitrate,Rust - Mancozeb
Aloe Vera,Sandy Loam,6.9,16,598,Phosphate Fertilizer,Thrips - Spinosad
Bamboo,Laterite,5.8,23,1153,Sulfur Fertilizer,Anthracnose - Carbendazim
Bamboo,Laterite,6.6,29,338,DAP,Stem Borer - Carbaryl
Lentils,Sandy,7.1,23,1243,DAP,Panama Wilt - Thiophanate
Mustard,Mountain,5.9,10,2247,NPK Fertilizer,Late Blight - Mancozeb
Blueberry,Alluvial,6.6,32,774,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Cauliflower,Clayey Loam,7.2,14,743,Phosphate Fertilizer,Blast - Tricyclazole
Groundnut,Clayey Loam,6.7,12,2486,NPK Fertilizer,Aphids - Imidacloprid
Black Gram,Sandy Loam,6.9,33,882,Potassium Nitrate,Coffee Rust - Propiconazole
Wheat,Mountain,6.4,33,1282,Potash Fertilizer,Thrips - Spinosad
Green Gram,Laterite,5.9,18,1903,Organic Compost,Panama Wilt - Thiophanate
Brinjal,Mountain,6.5,10,339,Potassium Nitrate,Scab - Captan
Pineapple,Clayey Loam,6.2,35,429,Farmyard Manure,Anthracnose - Carbendazim
Green Gram,Black,5.8,13,1475,DAP,Blister Blight - Copper Oxychloride
Cotton,Sandy,5.6,28,396,Urea,Leaf Curl - Imidacloprid
Cauliflower,Sandy,6.6,15,1024,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Coffee,Clayey,6.8,33,602,Phosphate Fertilizer,Powdery Mildew - Sulfur
Potato,Clayey Loam,6.1,15,1209,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Mahogany,Mountain,6.5,17,2425,Urea,Rust - Mancozeb
Strawberry,Laterite,7.5,29,1120,NPK Fertilizer,Aphids - Imidacloprid
Onion,Red,5.8,35,1755,Sulfur Fertilizer,Stem Borer - Carbaryl
Basil,Clayey Loam,5.5,20,1685,Organic Compost,Thrips - Spinosad
Maize,Clayey Loam,6.9,13,343,Organic Compost,Powdery Mildew - Sulfur
Peach,Alluvial,5.5,18,416,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Guava,Loamy,6,12,1330,Organic Compost,Scab - Captan
Banana,Sandy,6.9,12,1793,Sulfur Fertilizer,Red Rot - Carbendazim
Blueberry,Clayey Loam,5.8,23,1338,Farmyard Manure,Bollworm - Cypermethrin
Banana,Laterite,7.1,17,336,Sulfur Fertilizer,Mealybug - Buprofezin
Coconut,Alluvial,6.2,19,1651,DAP,Bollworm - Cypermethrin
Turmeric,Alluvial,6,16,1791,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Peas,Loamy,7.2,16,1904,NPK Fertilizer,Thrips - Spinosad
Wheat,Mountain,6.6,33,350,Sulfur Fertilizer,Stem Borer - Carbaryl
Bamboo,Sandy,6,12,784,Urea,Powdery Mildew - Sulfur
Brinjal,Sandy,6.3,15,896,Organic Compost,Stem Borer - Carbaryl
Strawberry,Clayey,5.7,31,1365,Sulfur Fertilizer,Thrips - Spinosad
Turmeric,Mountain,6,17,743,Potassium Nitrate,Rust - Propiconazole
Black Gram,Black,6.2,33,540,Potassium Nitrate,Red Rot - Carbendazim
Watermelon,Alluvial,6.6,33,1560,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Brinjal,Mountain,5.7,23,1930,Organic Compost,Leaf Curl - Imidacloprid
Coffee,Laterite,6.7,11,765,DAP,Aphids - Imidacloprid
Black Gram,Sandy,5.8,19,1389,Potassium Nitrate,Rust - Propiconazole
Mahogany,Black,5.5,17,1089,NPK Fertilizer,Leaf Spot - Chlorothalonil
Green Gram,Red,6.5,22,2488,Organic Compost,Red Rot - Carbendazim
Chili,Clayey,6,16,1143,Potassium Nitrate,Bollworm - Cypermethrin
Banana,Red,6.8,29,1644,Potash Fertilizer,Bollworm - Cypermethrin
Basil,Laterite,7,15,342,Potassium Nitrate,Rust - Propiconazole
Spinach,Red,5.5,26,1614,Potash Fertilizer,Mealybug - Buprofezin
Green Gram,Clayey,7.3,24,1024,Phosphate Fertilizer,Bollworm - Cypermethrin
Turmeric,Alluvial,5.8,28,2375,NPK Fertilizer,Bollworm - Cypermethrin
Onion,Clayey,5.8,14,2380,Farmyard Manure,Stem Borer - Carbaryl
Chili,Clayey,7.3,15,612,Farmyard Manure,Rust - Propiconazole
Green Gram,Black,6.2,24,1880,Potash Fertilizer,Panama Wilt - Thiophanate
Neem,Laterite,6.3,25,1578,Potassium Nitrate,Red Rot - Carbendazim
Tomato,Alluvial,6.8,16,586,Farmyard Manure,Stem Borer - Carbaryl
Apple,Clayey Loam,7.1,20,2028,Farmyard Manure,Coffee Rust - Propiconazole
Rice,Laterite,5.7,21,1228,NPK Fertilizer,Scab - Captan
Jute,Laterite,5.9,25,550,Calcium Ammonium Nitrate,Thrips - Spinosad
Blueberry,Sandy,6.6,22,2253,Phosphate Fertilizer,Bollworm - Cypermethrin
Neem,Alluvial,6.2,35,529,Potassium Nitrate,Scab - Captan
Potato,Loamy,6.9,28,1580,DAP,Aphids - Imidacloprid
Chili,Clayey Loam,6.7,17,1273,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Mango,Black,7.1,27,344,Potassium Nitrate,Anthracnose - Carbendazim
Groundnut,Clayey,7,13,1654,Potassium Nitrate,Stem Borer - Carbaryl
Onion,Mountain,7.4,14,809,Potassium Nitrate,Bollworm - Cypermethrin
Tomato,Black,6.3,25,1063,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Pomegranate,Loamy,6.3,14,2260,Organic Compost,Mealybug - Buprofezin
Potato,Sandy,5.7,26,2075,DAP,Rust - Mancozeb
Ginger,Sandy Loam,6.3,30,2393,Potassium Nitrate,Scab - Captan
Sunflower,Clayey,5.9,33,1064,NPK Fertilizer,Panama Wilt - Thiophanate
Sunflower,Loamy,7.3,28,569,Phosphate Fertilizer,Bollworm - Cypermethrin
Blueberry,Sandy,6.1,15,463,Potassium Nitrate,Coffee Rust - Propiconazole
Tomato,Red,6.6,26,1560,Organic Compost,Blast - Tricyclazole
Guava,Clayey,6.6,31,1475,NPK Fertilizer,Anthracnose - Carbendazim
Watermelon,Sandy,6.9,19,1131,DAP,Stem Borer - Carbaryl
Mango,Sandy,6.2,22,716,DAP,Blast - Tricyclazole
Black Gram,Sandy Loam,7.2,18,2139,Phosphate Fertilizer,Aphids - Imidacloprid
Tea,Red,6.6,28,1063,Potash Fertilizer,Anthracnose - Carbendazim
Okra,Clayey Loam,7.5,34,1668,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Chili,Red,6.3,24,1484,Organic Compost,Thrips - Spinosad
Guava,Sandy,7.1,11,1729,Urea,Bollworm - Cypermethrin
Pomegranate,Black,6.6,10,540,Organic Compost,Blister Blight - Copper Oxychloride
Neem,Loamy,5.8,22,868,Potash Fertilizer,Leaf Curl - Imidacloprid
Groundnut,Clayey,7.4,15,917,Potash Fertilizer,Aphids - Imidacloprid
Papaya,Clayey Loam,6.7,22,452,Sulfur Fertilizer,Red Rot - Carbendazim
Watermelon,Clayey Loam,6.2,15,1456,Farmyard Manure,Bud Rot - Copper Oxychloride
Sunflower,Sandy Loam,5.8,29,2455,Phosphate Fertilizer,Stem Borer - Carbaryl
Mango,Sandy Loam,5.5,12,1377,Potash Fertilizer,Scab - Captan
Coconut,Sandy,7,14,841,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Mustard,Laterite,7.4,24,1120,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Jute,Clayey Loam,6.7,15,1010,NPK Fertilizer,Anthracnose - Carbendazim
Papaya,Red,7.4,27,2260,Organic Compost,Coffee Rust - Propiconazole
Tomato,Black,6.4,26,2172,Organic Compost,Blast - Tricyclazole
Soybean,Alluvial,6,23,1300,Potash Fertilizer,Powdery Mildew - Sulfur
Mustard,Clayey,7.1,26,1367,Potassium Nitrate,Thrips - Spinosad
Banana,Red,6.7,10,1111,Urea,Panama Wilt - Thiophanate
Peach,Clayey Loam,6.2,10,2298,DAP,Red Rot - Carbendazim
Banana,Sandy,7.5,26,2489,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Banana,Clayey,5.8,32,868,NPK Fertilizer,Stem Borer - Carbaryl
Blueberry,Black,6,22,1691,Potash Fertilizer,Rust - Mancozeb
Spinach,Sandy Loam,5.7,13,2211,Potash Fertilizer,Thrips - Spinosad
Cabbage,Clayey,5.9,32,1682,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Papaya,Red,7,32,741,Urea,Leaf Spot - Chlorothalonil
Tomato,Sandy,7.5,23,2401,Sulfur Fertilizer,Coffee Rust - Propiconazole
Sunflower,Clayey Loam,5.8,12,2166,Organic Compost,Blast - Tricyclazole
Radish,Clayey,6.3,30,1125,DAP,Late Blight - Mancozeb
Chili,Sandy Loam,5.9,34,2204,Urea,Bud Rot - Copper Oxychloride
Soybean,Clayey,5.8,31,1210,DAP,Late Blight - Mancozeb
Onion,Laterite,5.6,28,420,NPK Fertilizer,Powdery Mildew - Sulfur
Radish,Loamy,7,18,565,Potash Fertilizer,Panama Wilt - Thiophanate
Potato,Clayey,5.8,22,2365,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Coconut,Loamy,6.4,31,2041,Urea,Coffee Rust - Propiconazole
Pineapple,Laterite,5.6,22,402,DAP,Scab - Captan
Strawberry,Red,6.3,22,936,Urea,Leaf Spot - Chlorothalonil
Coffee,Sandy,6.5,14,358,Urea,Panama Wilt - Thiophanate
Radish,Laterite,7,33,2267,Organic Compost,Coffee Rust - Propiconazole
Basil,Black,7.1,17,2267,Potassium Nitrate,Powdery Mildew - Sulfur
Watermelon,Mountain,7.2,30,1448,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Peas,Black,5.8,33,433,NPK Fertilizer,Coffee Rust - Propiconazole
Green Gram,Clayey,7.2,23,1478,Organic Compost,Panama Wilt - Thiophanate
Peach,Mountain,7.1,13,1859,Phosphate Fertilizer,Thrips - Spinosad
Cauliflower,Sandy,6.4,31,1946,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Mango,Black,7.1,21,1747,DAP,Blister Blight - Copper Oxychloride
Tea,Sandy Loam,6.8,13,1761,NPK Fertilizer,Scab - Captan
Cauliflower,Black,6,27,381,Urea,Late Blight - Mancozeb
Onion,Clayey Loam,5.8,28,1469,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Pineapple,Alluvial,6.5,25,1256,NPK Fertilizer,Thrips - Spinosad
Basil,Laterite,6.3,25,437,Potassium Nitrate,Anthracnose - Carbendazim
Potato,Black,5.6,25,2476,Organic Compost,Blast - Tricyclazole
Cashew,Laterite,6.7,25,1756,Organic Compost,Anthracnose - Carbendazim
Maize,Loamy,5.9,13,1947,DAP,Bollworm - Cypermethrin
Mustard,Red,7.2,22,2293,NPK Fertilizer,Red Rot - Carbendazim
Neem,Mountain,6.3,29,544,Potassium Nitrate,Bollworm - Cypermethrin
Rice,Clayey Loam,5.7,33,2316,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Chili,Clayey,5.7,12,2370,Sulfur Fertilizer,Panama Wilt - Thiophanate
Jackfruit,Clayey Loam,6.5,22,1531,Farmyard Manure,Powdery Mildew - Sulfur
Peach,Clayey Loam,5.7,19,720,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Pineapple,Mountain,7.2,17,1620,Potassium Nitrate,Aphids - Imidacloprid
Cabbage,Black,6.8,26,1010,DAP,Anthracnose - Carbendazim
Tea,Clayey,6,34,2323,Potash Fertilizer,Blast - Tricyclazole
Wheat,Red,6.2,12,591,Farmyard Manure,Scab - Captan
Peas,Sandy,7.4,12,1618,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Rice,Red,7.2,12,339,Potash Fertilizer,Red Rot - Carbendazim
Ginger,Laterite,6.5,35,1842,Urea,Red Rot - Carbendazim
Spinach,Sandy Loam,7.1,33,1534,Organic Compost,Mealybug - Buprofezin
Apple,Laterite,7.1,23,1814,Organic Compost,Mealybug - Buprofezin
Mustard,Black,6.1,13,813,Calcium Ammonium Nitrate,Red Rot - Carbendazim
